,Player,College_Conference,College,College_PPG,NBA_Team
106,Bryce McGowens,Big Ten,Nebraska,16.8,Hornets
107,Keegan Murray,Big Ten,Iowa,15.8,Kings
108,Kendrick Nunn,Big Ten,Oakland,14.2,Wizards
109,Victor Oladipo,Big Ten,Indiana,10.7,Heat
110,Eugene Omoruyi,Big Ten,Oregon,9.9,Pistons
111,Jordan Poole,Big Ten,Michigan,9.4,Warriors
112,Micah Potter,Big Ten,Wisconsin,7.6,Jazz
113,Duncan Robinson,Big Ten,Michigan,9.3,Heat
114,Isaiah Roby,Big Ten,Nebraska,8.1,Knicks
115,D'Angelo Russell,Big Ten,Ohio State,19.3,Lakers
116,Jalen Smith,Big Ten,Maryland,13.5,Pacers
117,Lamar Stevens,Big Ten,Penn State,16.3,Cavaliers
118,Jae'Sean Tate,Big Ten,Ohio State,11.7,Rockets
119,Xavier Tillman Sr.,Big Ten,Michigan State,8.7,Grizzlies
120,Franz Wagner,Big Ten,Michigan,12,Magic
121,Moritz Wagner,Big Ten,Michigan,10.4,Magic
122,Duane Washington Jr.,Big Ten,Ohio State,11.4,Knicks
123,Joe Wieskamp,Big Ten,Iowa,13.2,Raptors
124,Aaron Wiggins,Big Ten,Maryland,11,Thunder
125,Cody Zeller,Big Ten,Indiana,16.1,Heat
126,Nickeil Alexander-Walker,ACC,Virginia Tech,13.5,Timberwolves
127,Grayson Allen,ACC,Duke,14.1,Bucks
128,Jose Alvarado,ACC,Georgia Tech,13.5,Pelicans
129,Cole Anthony,ACC,North Carolina,18.5,Magic
130,Marvin Bagley III,ACC,Duke,21,Pistons
131,Paolo Banchero,ACC,Duke,17.2,Magic
132,Harrison Barnes,ACC,North Carolina,16.3,Kings
133,Scottie Barnes,ACC,Florida State,10.3,Raptors
134,RJ Barrett,ACC,Duke,22.6,Knicks
135,Malik Beasley,ACC,Florida State,15.6,Lakers
136,Buddy Boeheim,ACC,Syracuse,14.6,Pistons
137,Oshae Brissett,ACC,Syracuse,13.7,Pacers
138,Malcolm Brogdon,ACC,Virginia,13.3,Celtics
139,Bruce Brown,ACC,Miami (FL),11.7,Nuggets
140,Reggie Bullock,ACC,North Carolina,9.9,Mavericks
141,John Butler,ACC,Florida State,5.9,Trail Blazers
142,Vernon Carey Jr.,ACC,Duke,17.8,Jazz
143,Wendell Carter Jr.,ACC,Duke,13.5,Magic
144,Justin Champagnie,ACC,Pittsburgh,14.7,Celtics
145,John Collins,ACC,Wake Forest,13.4,Hawks
146,Pat Connaughton,ACC,Notre Dame,10.5,Bucks
147,Seth Curry,ACC,Duke,14.9,Nets
148,Mamadi Diakite,ACC,Virginia,7.4,Cavaliers
149,Trent Forrest,ACC,Florida State,8.3,Hawks
150,Anthony Gill,ACC,Virginia,10.5,Wizards
151,Jerami Grant,ACC,Syracuse,7.5,Trail Blazers
152,Raiquan Gray,ACC,Florida State,6.8,Nets
153,Danny Green,ACC,North Carolina,9.4,Cavaliers
154,A.J. Griffin Jr.,ACC,Duke,10.4,Hawks
155,Montrezl Harrell,ACC,Louisville,11.6,Sixers
156,Joe Harris,ACC,Virginia,12.6,Nets
157,Sam Hauser,ACC,Virginia,13.3,Celtics
158,James Huff,ACC,Virginia,7.6,Wizards
159,De'Andre Hunter,ACC,Virginia,12.4,Hawks
160,Brandon Ingram,ACC,Duke,17.3,Pelicans
161,Kyrie Irving,ACC,Duke,17.5,Mavericks
162,Jonathan Isaac,ACC,Florida State,12,Magic
163,Reggie Jackson,ACC,Boston College,12.7,Nuggets
